RowNumber,CustomerId,Surname,Geography,Gender,Age,Tenure,NumOfProducts,IsActiveMember,Contract Online,Internet Activity Score,Having Vollkasko,Kasco Changed Score,Exited
86,15805254,Ndukaku,Spain,Female,75,10,2,1,0,4,1,0,0
87,15762418,Gant,Spain,Male,22,3,1,0,1,1,0,1,1
88,15625759,Rowley,France,Male,30,9,2,0,0,5,1,0,0
89,15622897,Sharpe,France,Female,46,4,3,0,0,0,0,2,1
90,15767954,Osborne,Germany,Female,28,3,2,1,0,5,1,0,0
91,15757535,Heap,Spain,Female,44,5,3,1,1,3,0,1,1
92,15731511,Ritchie,France,Male,45,7,2,0,0,5,1,0,0
93,15809248,Cole,France,Female,36,10,2,0,0,5,1,0,0
94,15640635,Capon,France,Male,29,8,2,1,0,4,1,0,0
95,15676966,Capon,Spain,Male,42,4,2,1,0,4,1,0,0
96,15699461,Fiorentini,Spain,Male,35,10,1,1,0,5,1,0,0
97,15738721,Graham,Spain,Male,41,9,1,1,0,5,1,0,0
98,15693683,Yuille,Germany,Male,29,8,2,1,0,5,1,0,0
99,15604348,Allard,Spain,Male,22,8,2,0,0,4,1,0,0
100,15633059,Fanucci,France,Male,34,9,2,0,0,4,1,0,0
101,15808582,Fu,France,Female,40,6,1,1,0,5,1,0,0
102,15743192,Hung,France,Female,44,6,2,0,0,5,1,0,0
103,15580146,Hung,France,Male,31,9,1,0,0,4,1,0,0
104,15776605,Bradley,Spain,Male,36,7,2,0,0,4,1,0,0
105,15804919,Dunbabin,Spain,Female,65,1,1,1,0,3,0,2,1
106,15613854,Mauldon,Spain,Female,46,4,2,1,1,3,0,1,1
107,15599195,Stiger,Germany,Male,32,1,1,1,0,5,1,0,0
108,15812878,Parsons,Germany,Female,36,2,1,1,0,4,1,0,0
109,15602312,Walkom,Spain,Male,33,5,1,0,0,5,1,0,0
110,15744689,T'ang,Germany,Male,35,9,1,0,1,0,0,1,1
111,15803526,Eremenko,Germany,Male,30,3,1,1,0,4,1,0,0
112,15665790,Rowntree,Germany,Male,39,7,2,0,0,5,1,0,0
113,15715951,Thorpe,France,Male,42,2,1,0,0,4,1,0,0
114,15591100,Chiemela,Spain,Male,36,9,1,1,0,5,1,0,0
115,15609618,Fanucci,Germany,Male,28,9,2,1,1,3,0,1,1
116,15675522,Ko,Germany,Female,30,9,2,1,0,4,1,0,0
117,15705512,Welch,Germany,Female,37,6,1,0,0,5,1,0,0
118,15698028,Duncan,France,Female,41,1,2,0,0,4,1,0,0
119,15661670,Chidozie,Germany,Female,31,8,1,0,0,0,0,1,1
120,15600781,Wu,Germany,Male,34,4,2,0,0,5,1,0,0
121,15682472,Culbreth,France,Male,34,8,2,0,0,5,1,0,0
122,15580203,Kennedy,Spain,Male,39,6,1,0,0,4,1,0,0
123,15690673,Cameron,France,Female,39,6,2,0,0,5,1,0,0
124,15760085,Calabresi,Germany,Female,48,10,1,1,0,5,1,0,0
125,15779659,Zetticci,France,Female,28,3,1,0,0,5,1,0,0
126,15627360,Fuller,France,Male,42,9,1,0,1,3,0,2,1
127,15671137,MacDonald,France,Female,52,1,1,1,1,2,0,2,1
128,15782688,Piccio,Germany,Male,56,0,1,0,0,3,0,2,1
129,15575492,Kennedy,France,Female,41,7,2,0,0,4,1,0,0
130,15591607,Fernie,France,Male,24,9,1,0,0,5,1,0,0
131,15740404,He,France,Female,34,3,2,1,0,5,1,0,0
132,15718369,Kaodilinakachukwu,Germany,Female,33,9,1,1,0,5,1,0,0
133,15677871,Cocci,France,Male,38,9,1,1,0,4,1,0,0
134,15642004,Alekseeva,France,Male,25,1,2,1,0,5,1,0,0
135,15712543,Chinweike,Germany,Male,39,7,2,1,0,4,1,0,0
136,15584518,Arthur,Germany,Female,50,5,2,1,0,4,1,0,0
137,15802381,Li,Germany,Female,34,5,1,1,0,4,1,0,0
138,15610156,Ma,France,Male,40,2,1,1,0,5,1,0,0
139,15594408,Chia,Spain,Female,48,2,1,0,0,1,0,1,1
140,15640905,Vasin,Spain,Female,35,1,2,1,1,1,0,1,1
141,15698932,Groves,Germany,Male,44,10,1,0,0,4,1,0,0
142,15724944,Tien,France,Male,34,7,2,1,0,4,1,0,0
143,15628145,Forwood,France,Female,43,5,1,1,0,4,1,0,0
144,15713483,Greeves,Spain,Male,52,2,1,0,1,0,0,1,1
145,15612350,Taylor,France,Female,31,5,1,0,1,3,0,1,1
146,15800703,Madukwe,Spain,Female,21,5,1,1,0,4,1,0,0
147,15705707,Bennelong,Spain,Female,29,8,2,0,0,5,1,0,0
148,15754105,Olisanugo,France,Male,37,5,1,0,0,4,1,0,0
149,15703264,Chukwufumnanya,France,Male,44,9,1,0,0,4,1,0,0
150,15794413,Harris,France,Male,32,0,2,1,0,4,1,0,0
151,15650237,Morgan,Spain,Female,32,7,2,0,0,4,1,0,0
152,15759618,Alexeeva,France,Female,48,9,1,0,0,1,0,2,1
153,15811589,Metcalfe,Spain,Male,42,8,2,0,0,5,1,0,0
154,15689044,Humphries,France,Male,37,2,1,0,0,5,1,0,0
155,15709368,Milne,France,Female,43,6,2,1,0,5,1,0,0
156,15679145,Chou,Spain,Male,57,7,1,0,1,3,0,1,1
157,15655007,Li,France,Female,33,7,2,0,0,4,1,0,0
158,15623595,Clayton,Spain,Female,28,2,2,1,0,5,1,0,0
159,15589975,Maclean,France,Female,73,6,1,1,0,5,1,0,0
160,15804017,Chigolum,Germany,Female,33,4,1,0,0,5,1,0,0
161,15692132,Wilkinson,Spain,Female,22,6,1,1,0,4,1,0,0
162,15641122,Wei,France,Male,30,2,2,0,0,5,1,0,0
163,15630910,Treacy,France,Female,49,7,1,0,0,5,1,0,0
164,15680772,Hu,Spain,Female,36,2,2,1,0,4,1,0,0
165,15658929,Taverner,Spain,Male,29,0,1,0,1,3,0,1,1
166,15585388,Sherman,Germany,Male,31,9,2,1,0,4,1,0,0
167,15724623,Taubman,Germany,Female,24,7,1,0,1,0,0,1,1
168,15588537,Robinson,Spain,Female,41,9,1,0,0,5,1,0,0
169,15574692,Pinto,Spain,Female,39,2,2,0,0,2,0,2,1
170,15611325,Wood,Germany,Male,24,9,2,0,0,5,1,0,0
171,15587562,Hawkins,France,Female,29,4,1,0,0,5,1,0,0
172,15613172,Sun,Germany,Male,27,5,2,0,0,4,1,0,0
173,15651022,Yost,Germany,Male,44,10,1,0,1,2,0,2,1
174,15586310,Ting,France,Male,30,4,1,0,0,5,1,0,0
175,15625524,Rowe,France,Male,40,5,2,1,0,4,1,0,0
176,15755209,Fu,Spain,Female,35,7,1,1,0,4,1,0,0
177,15645248,Ho,France,Female,30,0,2,1,0,5,1,0,0
178,15790355,Okechukwu,Germany,Male,36,5,2,0,0,4,1,0,0
179,15762615,Campbell,Spain,Female,40,8,1,1,0,4,1,0,0
180,15625426,Ashbolt,Germany,Female,55,3,1,0,0,2,0,2,1
181,15716334,Rozier,Spain,Female,45,2,1,1,0,4,1,0,0
182,15789669,Hsia,France,Male,65,2,2,1,0,4,1,0,0
183,15621075,Ogbonnaya,Germany,Female,45,1,2,0,0,4,1,0,0
184,15810845,T'ang,France,Male,42,2,2,1,0,4,1,0,0
185,15719377,Cocci,France,Female,50,4,1,1,1,2,0,2,1
186,15654506,Chang,France,Male,32,8,2,0,0,4,1,0,0
187,15771977,T'ao,France,Female,39,1,1,0,0,4,1,0,0
188,15708710,Ford,Spain,Female,37,0,1,1,0,4,1,0,0
189,15726676,Marshall,Spain,Male,30,5,2,1,0,4,1,0,0
190,15587421,Tsai,Germany,Female,34,7,2,0,0,4,1,0,0
191,15726931,Onwumelu,France,Female,41,8,2,0,0,3,0,2,1
192,15771086,Graham,France,Female,36,3,2,0,0,5,1,0,0
193,15756850,Golovanov,France,Male,40,1,2,0,0,4,1,0,0
194,15702741,Potts,France,Male,32,8,1,0,0,5,1,0,0
195,15679200,Crawford,Spain,Male,29,9,2,0,0,4,1,0,0
196,15594815,Aleshire,France,Male,35,3,1,1,0,5,1,0,0
197,15635905,Moran,Spain,Female,32,6,2,1,0,5,1,0,0
198,15777892,Samsonova,Germany,Male,37,3,1,1,0,4,1,0,0
199,15656176,Jenkins,France,Male,57,10,2,1,0,4,1,0,0
200,15811127,Volkov,France,Male,35,6,1,0,0,5,1,0,0
201,15604482,Chiemezie,Spain,Male,30,2,1,1,0,5,1,0,0
202,15622911,Jude,France,Male,42,4,1,1,0,4,1,0,0
203,15600974,He,Spain,Male,50,5,1,1,0,0,0,2,1
204,15727868,Onuora,France,Female,38,2,2,1,1,0,0,2,1
205,15627801,Ginikanwa,Spain,Male,33,3,1,0,0,4,1,0,0
206,15773039,Ku,France,Male,37,3,1,1,0,5,1,0,0
207,15755262,McDonald,Spain,Female,41,3,1,0,1,3,0,1,1
208,15679531,Collins,France,Male,34,5,1,1,0,5,1,0,0
209,15684181,Hackett,France,Male,45,5,1,0,1,3,0,2,1
210,15612087,Dike,France,Male,45,2,1,1,0,5,1,0,0
211,15752047,Trevisano,Germany,Male,33,2,2,0,0,4,1,0,0
212,15624592,Tan,France,Male,31,8,2,1,0,4,1,0,0
213,15573152,Glassman,France,Female,41,9,2,0,0,4,1,0,0
214,15594917,Miller,France,Female,34,1,1,1,0,5,1,0,0
215,15785542,Kornilova,Germany,Male,26,4,2,0,0,4,1,0,0
216,15723488,Watson,Germany,Male,47,7,1,1,1,2,0,2,1
217,15680920,Marchesi,France,Male,46,7,1,0,0,4,1,0,0
218,15786308,Millar,Spain,Female,33,9,2,0,0,4,1,0,0
219,15659366,Shih,France,Male,43,1,2,0,1,0,0,1,1
220,15774854,Fuller,France,Male,54,8,1,1,0,3,0,1,1
221,15725311,Hay,France,Female,31,9,2,1,0,5,1,0,0
222,15787155,Yang,Spain,Male,30,7,1,1,0,5,1,0,0
223,15727829,McIntyre,France,Male,42,2,2,1,0,4,1,0,0
224,15733247,Stevenson,France,Male,33,10,1,0,1,2,0,2,1
225,15568748,Poole,Germany,Male,45,6,1,1,0,3,0,2,1
226,15699029,Bagley,France,Male,37,4,2,0,0,4,1,0,0
227,15774393,Ch'ien,France,Female,30,9,2,1,0,4,1,0,0
228,15676895,Cattaneo,Germany,Female,39,6,3,1,0,3,0,2,1
229,15637753,O'Sullivan,Germany,Male,50,2,1,0,1,3,0,2,1
230,15605461,Lucas,Germany,Female,29,3,1,0,0,5,1,0,0
231,15808473,Ringrose,France,Male,72,1,2,1,0,5,1,0,0
232,15627000,Freeman,France,Male,40,0,2,0,0,4,1,0,0
233,15787174,Sergeyev,France,Female,37,1,2,1,0,5,1,0,0
234,15723886,Fiore,Germany,Male,20,3,2,1,0,5,1,0,0
235,15704769,Smith,France,Female,67,5,2,1,0,5,1,0,0
236,15772896,Dumetochukwu,Germany,Male,42,6,1,0,1,2,0,1,1
237,15711540,Pacheco,France,Female,29,2,1,1,0,4,1,0,0
238,15764866,Synnot,Germany,Female,43,3,3,0,0,2,0,1,1
239,15794056,Johnston,France,Female,46,2,3,0,0,0,0,2,1
240,15795149,Stevens,France,Male,28,2,2,1,0,5,1,0,0
241,15812009,Grant,Spain,Male,38,4,2,0,0,5,1,0,0
242,15651001,Tsao,Germany,Female,39,5,1,0,0,4,1,0,0
243,15813844,Barnes,France,Male,37,8,2,1,0,4,1,0,0
244,15596175,McIntosh,Germany,Male,67,6,1,1,0,2,0,2,1
245,15576269,Madison,Spain,Male,34,7,2,0,0,4,1,0,0
246,15797219,Ifesinachi,France,Female,40,10,1,0,1,1,0,1,1
247,15685500,Glazkov,Germany,Male,26,7,2,0,0,4,1,0,0
248,15599792,Dimauro,France,Female,26,1,2,1,0,5,1,0,0
249,15657566,Wieck,Germany,Male,24,8,1,1,0,5,1,0,0
250,15772423,Liao,Germany,Male,54,8,1,0,0,2,0,2,1
251,15628112,Hughes,Germany,Female,36,5,1,0,0,5,1,0,0
252,15753754,Morrison,Spain,Female,34,1,2,1,0,4,1,0,0
253,15793726,Matveyeva,France,Female,79,0,2,1,0,5,1,0,0
254,15694717,Ku,Germany,Male,37,2,1,1,0,5,1,0,0
255,15665834,Cheatham,Spain,Male,28,8,1,0,0,4,1,0,0
256,15765297,Yao,Spain,Male,41,0,2,1,0,4,1,0,0
257,15636684,Kirkland,France,Male,34,10,2,1,0,5,1,0,0
258,15592979,Rose,Germany,Female,34,6,2,0,0,4,1,0,0
259,15750803,Jess,France,Female,30,6,1,1,0,4,1,0,0
260,15607178,Welch,Germany,Male,38,3,1,1,0,4,1,0,0
261,15713853,Ifeajuna,Germany,Male,42,9,2,1,0,5,1,0,0
262,15673481,Morton,Spain,Female,48,6,1,0,0,4,1,0,0
263,15686776,Rossi,France,Female,32,6,2,0,0,5,1,0,0
264,15673693,Reppert,France,Female,26,0,1,1,0,4,1,0,0
265,15700696,Kang,Spain,Male,31,9,1,1,0,4,1,0,0
266,15813163,Ch'iu,Spain,Female,36,9,1,0,0,5,1,0,0
267,15653857,Wallis,France,Male,34,2,2,1,0,4,1,0,0
268,15777076,Clark,France,Male,36,7,2,0,0,4,1,0,0
269,15717398,Fielding,Spain,Female,39,7,1,0,1,1,0,1,1
270,15799217,Zetticci,Germany,Female,35,7,1,0,0,4,1,0,0
271,15787071,Dulhunty,Spain,Male,41,9,2,1,0,5,1,0,0
272,15619955,Bevington,Germany,Male,34,3,3,0,1,1,0,2,1
273,15796505,Boyle,Germany,Female,34,1,2,1,0,5,1,0,0
274,15725166,Newton,France,Male,30,8,2,0,0,4,1,0,0
275,15800116,Bowman,Germany,Male,28,4,1,1,0,4,1,0,0
276,15758685,Dubinina,Spain,Female,37,7,2,1,0,4,1,0,0
277,15694456,Toscani,France,Male,62,3,1,1,1,1,0,1,1
278,15767339,Chiazagomekpere,France,Female,53,10,2,0,0,4,1,0,0
279,15683562,Allen,France,Male,35,6,1,1,0,5,1,0,0
280,15782210,K'ung,France,Male,46,1,1,0,0,2,0,2,1
281,15668893,Wilsmore,France,Male,39,8,2,1,0,5,1,0,0
282,15669169,Hargreaves,Spain,Male,29,10,2,1,0,4,1,0,0
283,15643024,Huang,Germany,Male,35,4,1,1,1,0,0,2,1
284,15699389,Ch'ien,France,Male,42,7,1,1,0,4,1,0,0
285,15708608,Wallwork,France,Female,22,8,2,1,0,4,1,0,0
286,15626144,Chu,France,Male,40,7,2,0,0,4,1,0,0
287,15573112,Kang,Spain,Male,29,5,1,0,0,5,1,0,0
288,15790678,Davidson,France,Female,32,8,1,0,0,5,1,0,0
289,15727556,O'Donnell,Spain,Female,26,5,1,1,0,4,1,0,0
290,15697307,Nnachetam,Spain,Male,34,10,2,0,0,4,1,0,0
291,15652266,Chidiebele,Germany,Male,42,9,1,1,0,5,1,0,0
292,15607098,Ahmed,Spain,Female,41,5,2,0,0,5,1,0,0
293,15655774,Booth,France,Male,27,7,2,0,0,5,1,0,0
294,15590241,Chuang,Spain,Female,34,9,1,0,1,3,0,1,1
295,15785819,Shao,France,Male,38,3,2,1,0,5,1,0,0
296,15723654,Tsao,France,Male,25,2,1,0,0,4,1,0,0
297,15774510,Tien,France,Female,31,4,1,1,0,4,1,0,0
298,15684173,Chang,Spain,Female,44,7,3,0,0,3,0,2,1
299,15650068,Johnson,France,Male,58,0,1,1,0,4,1,0,0
300,15811490,French,France,Male,33,5,2,1,0,4,1,0,0
301,15803976,Efremov,France,Female,31,10,2,0,0,4,1,0,0
302,15682541,Hartley,Spain,Female,36,6,1,0,0,5,1,0,0
303,15695699,Calabrese,France,Male,35,8,2,0,0,4,1,0,0
304,15624188,Chiu,France,Female,33,6,2,1,0,5,1,0,0
305,15812191,Brennan,France,Male,33,4,1,0,0,4,1,0,0
306,15636673,Onwuatuegwu,France,Male,31,1,1,1,0,5,1,0,0
307,15594898,Hewitt,France,Male,43,2,1,1,0,1,0,2,1
308,15660211,Shih,Germany,Male,35,7,2,0,0,4,1,0,0
309,15773972,Balashov,France,Male,50,4,1,0,0,0,0,2,1
310,15746726,Doyle,Germany,Male,31,8,1,0,0,5,1,0,0
311,15712287,Pokrovskii,France,Female,80,4,2,1,0,5,1,0,0
312,15702919,Collins,Germany,Male,30,6,1,0,0,5,1,0,0
313,15674398,Russo,France,Male,38,3,2,0,0,5,1,0,0
314,15797960,Skinner,Germany,Female,59,0,1,0,0,4,1,0,0
315,15631868,Robertson,Spain,Male,36,2,1,1,0,5,1,0,0
316,15581539,Atkinson,Spain,Male,37,3,2,0,0,5,1,0,0
317,15662736,Doyle,France,Male,49,2,1,0,1,2,0,1,1
318,15666252,Ritchie,Spain,Male,42,9,2,1,0,4,1,0,0
319,15677512,McEncroe,Spain,Female,22,3,1,0,0,5,1,0,0
320,15626114,Pearson,France,Male,24,4,1,0,0,4,1,0,0
321,15810834,Gordon,Spain,Female,57,2,1,1,0,4,1,0,0
322,15678910,Ts'ai,France,Female,30,8,1,1,0,4,1,0,0
323,15694408,Lung,France,Male,40,1,1,0,0,0,0,1,1
324,15585215,Yuan,France,Female,31,4,2,0,0,5,1,0,0
325,15682757,Pardey,France,Male,30,3,2,0,0,5,1,0,0
326,15736601,Tai,France,Male,35,4,1,0,0,4,1,0,0
327,15601848,Scott,France,Male,35,2,2,0,0,5,1,0,0
328,15736008,Hunter,France,Female,46,9,1,0,1,3,0,2,1
329,15669064,Mazzanti,Germany,Male,35,1,1,1,0,4,1,0,0
330,15624528,L?,Germany,Male,26,7,2,1,0,5,1,0,0
331,15598493,Beach,France,Male,50,7,2,1,0,4,1,0,0
332,15601274,Hsieh,Spain,Female,40,1,1,0,0,5,1,0,0
333,15702669,Faulkner,Germany,Male,44,2,2,1,0,4,1,0,0
334,15728669,Knowles,Germany,Female,30,8,1,0,0,3,0,2,1
335,15742668,Day,Spain,Female,37,6,1,0,0,5,1,0,0
336,15697441,Hsueh,France,Male,29,7,1,0,0,3,0,1,1
337,15740476,Tsao,Germany,Female,32,3,2,1,0,4,1,0,0
338,15648064,Kennedy,France,Male,33,2,2,0,0,5,1,0,0
339,15636624,Nwabugwu,Spain,Female,39,5,1,0,1,1,0,1,1
340,15807923,Young,Germany,Female,39,10,1,0,1,2,0,2,1
341,15745844,Kerr,Germany,Female,40,6,2,1,1,1,0,2,1
342,15786170,Tien,France,Male,31,4,1,0,0,5,1,0,0
343,15681081,Marrero,Spain,Female,47,5,2,1,0,5,1,0,0
344,15684484,White,France,Male,22,8,2,0,0,4,1,0,0
345,15785869,Pisano,France,Female,25,7,2,0,0,5,1,0,0
346,15763859,Brown,France,Female,43,7,2,0,0,4,1,0,0
347,15658935,Freeman,Germany,Female,34,9,2,0,0,5,1,0,0
348,15747358,Russell,Germany,Male,59,3,1,1,0,4,1,0,0
349,15735203,Seleznyov,Germany,Female,32,1,1,1,0,5,1,0,0
350,15576256,Yusupova,France,Male,39,5,2,1,0,5,1,0,0
351,15659420,Foley,Spain,Male,32,3,2,1,0,5,1,0,0
352,15593365,Shih,Spain,Male,39,2,1,1,0,5,1,0,0
353,15777352,Ikedinachukwu,Spain,Female,32,7,1,0,0,4,1,0,0
354,15812007,Power,Spain,Male,25,6,2,1,0,4,1,0,0
355,15625461,Amos,France,Female,45,1,2,1,0,5,1,0,0
356,15739438,Reed,France,Male,30,0,2,0,0,5,1,0,0
357,15611759,Simmons,Spain,Female,57,8,2,1,0,4,1,0,0
358,15661629,Ricci,Spain,Male,34,9,1,0,0,0,0,2,1
359,15633950,Yen,France,Male,41,1,1,1,0,5,1,0,0
360,15592386,Campbell,France,Male,58,3,2,1,0,4,1,0,0
361,15803716,West,Spain,Male,28,3,2,1,0,5,1,0,0
362,15696674,Robinson,Germany,Female,45,2,1,1,1,1,0,1,1
363,15706365,Bianchi,France,Female,50,9,1,1,0,5,1,0,0
364,15745088,Chen,Germany,Female,29,9,2,0,0,4,1,0,0
365,15676715,Madukaego,France,Male,68,9,2,1,0,4,1,0,0
366,15613085,Ibrahimova,Spain,Female,33,3,1,1,0,4,1,0,0
367,15633537,Nolan,Germany,Female,42,9,2,0,0,4,1,0,0
368,15594720,Scott,Germany,Female,35,8,2,1,0,5,1,0,0
369,15684042,Blair,Germany,Male,34,2,2,1,0,5,1,0,0
370,15583303,Monaldo,France,Female,29,2,1,0,0,5,1,0,0
371,15611579,Sutherland,Spain,Male,42,4,1,1,0,4,1,0,0
372,15774696,Cole,Germany,Female,75,1,2,1,0,4,1,0,0
373,15694506,Briggs,Germany,Male,31,0,2,1,0,5,1,0,0
374,15688074,Gregory,Germany,Male,31,1,1,1,0,4,1,0,0
375,15759537,Bianchi,Germany,Male,35,7,2,1,0,4,1,0,0
376,15758449,Angelo,France,Female,39,8,1,1,0,4,1,0,0
377,15583456,Gardiner,Germany,Male,45,10,3,1,0,2,0,1,1
378,15667871,Kerr,Spain,Male,35,4,1,0,0,4,1,0,0
379,15677371,Ko,Spain,Female,30,2,1,0,0,5,1,0,0
380,15629677,Distefano,Spain,Female,39,2,3,0,1,2,0,1,1
381,15713578,Farrell,France,Female,50,9,2,1,0,4,1,0,0
382,15591509,Milano,France,Male,36,7,2,0,0,4,1,0,0
383,15568240,Ting,Germany,Female,30,10,2,1,0,4,1,0,0
384,15622993,Boyd,Germany,Male,28,8,2,0,0,4,1,0,0
385,15689294,Onyemaechi,Germany,Male,44,3,1,0,0,5,1,0,0
386,15720910,Black,France,Female,66,9,1,1,0,4,1,0,0
387,15721181,Oliver,Spain,Male,46,6,2,0,0,5,1,0,0
388,15776433,Greco,Spain,Male,62,2,2,1,0,4,1,0,0
389,15748936,Whitehead,Spain,Female,45,2,2,1,0,5,1,0,0
390,15717225,Ikemefuna,France,Female,21,10,2,0,0,5,1,0,0
391,15685226,Morrison,Germany,Female,29,7,1,1,0,5,1,0,0
